"data";"valor"
"01/01/1990";"13195"
"01/02/1990";"10715"
"01/03/1990";"5822"
"01/04/1990";"5531"
"01/05/1990";"9734"
"01/06/1990";"7569"
"01/07/1990";"8296"
"01/08/1990";"15328"
"01/09/1990";"13247"
"01/10/1990";"15010"
"01/11/1990";"12234"
"01/12/1990";"11751"
"01/01/1991";"9631"
"01/02/1991";"9320"
"01/03/1991";"10584"
"01/04/1991";"5978"
"01/05/1991";"8612"
"01/06/1991";"12006"
"01/07/1991";"15026"
"01/08/1991";"12955"
"01/09/1991";"11417"
"01/10/1991";"13117"
"01/11/1991";"11127"
"01/12/1991";"8506"
"01/01/1992";"6773"
"01/02/1992";"7271"
"01/03/1992";"6048"
"01/04/1992";"12363"
"01/05/1992";"10188"
"01/06/1992";"11500"
"01/07/1992";"12596"
"01/08/1992";"11600"
"01/09/1992";"11766"
"01/10/1992";"11354"
"01/11/1992";"11442"
"01/12/1992";"11038"
"01/01/1993";"12993"
"01/02/1993";"11062"
"01/03/1993";"17619"
"01/04/1993";"12315"
"01/05/1993";"13459"
"01/06/1993";"13431"
"01/07/1993";"14272"
"01/08/1993";"18203"
"01/09/1993";"14817"
"01/10/1993";"13895"
"01/11/1993";"14829"
"01/12/1993";"15911"
"01/01/1994";"13216"
"01/02/1994";"14305"
"01/03/1994";"16911"
"01/04/1994";"14544"
"01/05/1994";"17333"
"01/06/1994";"19466"
"01/07/1994";"16680"
"01/08/1994";"25138"
"01/09/1994";"18607"
"01/10/1994";"19116"
"01/11/1994";"19729"
"01/12/1994";"18494"
"01/01/1995";"20697"
"01/02/1995";"19375"
"01/03/1995";"27148"
"01/04/1995";"19173"
"01/05/1995";"17740"
"01/06/1995";"16665"
"01/07/1995";"18739"
"01/08/1995";"21668"
"01/09/1995";"18004"
"01/10/1995";"19468"
"01/11/1995";"18825"
"01/12/1995";"18754"
"01/01/1996";"16487"
"01/02/1996";"19698"
"01/03/1996";"22331"
"01/04/1996";"20512"
"01/05/1996";"23276"
"01/06/1996";"20877"
